AREA,CONCEPT,CENSUS,VERIFIED,EAJ-PNV,EB-AZ,EH-BILDU,ELKARREKIN POD.,ENK-EXI,PH,PP,PSE-EE,STOP,VOX,BLANK,NULL,ABSENT
BAKIO,PERCENTAGE,2216,100,44,,,,,,,,,,,,
BALMASEDA,VOTES,5926,100,2152,24,683,127,386,0,86,484,20,40,62,83,1779
BALMASEDA,PERCENTAGE,5926,100,52,,,,,,,,,,,,
BARAKALDO,VOTES,77950,100,15096,179,7103,4003,193,0,3214,10792,216,1345,741,663,34405
BARAKALDO,PERCENTAGE,77950,100,35,,,,,,,,,,,,
BARRIKA,VOTES,1240,100,330,0,250,36,0,0,40,52,5,10,24,8,485
BARRIKA,PERCENTAGE,1240,100,44,,,,,,,,,,,,
BASAURI,VOTES,32426,100,6929,0,3484,1429,0,131,1387,4072,65,0,291,283,14355
BASAURI,PERCENTAGE,32426,100,38,,,,,,,,,,,,
BEDIA,VOTES,895,100,365,0,165,21,0,2,16,25,4,0,8,19,270
BEDIA,PERCENTAGE,895,100,60,,,,,,,,,,,,
BERANGO,VOTES,5769,100,1455,0,893,244,0,0,344,384,20,45,64,45,2275
BERANGO,PERCENTAGE,5769,100,42,,,,,,,,,,,,
BERMEO,VOTES,13002,100,3976,0,3104,284,0,0,41,332,55,47,148,121,4894
BERMEO,PERCENTAGE,13002,100,49,,,,,,,,,,,,
BERRIATUA,VOTES,859,100,184,0,301,12,0,0,0,11,1,1,11,5,333
BERRIATUA,PERCENTAGE,859,100,35,,,,,,,,,,,,
BERRIZ,VOTES,3413,100,825,0,808,169,0,5,65,221,10,0,47,28,1235
BERRIZ,PERCENTAGE,3413,100,38,,,,,,,,,,,,
BILBAO,VOTES,267249,100,54543,1177,27982,12476,0,0,18221,24917,836,5197,2762,1837,117301
BILBAO,PERCENTAGE,267249,100,36,,,,,,,,,,,,
BUSTURIA,VOTES,1330,100,446,0,315,33,0,0,6,37,3,0,22,18,450
BUSTURIA,PERCENTAGE,1330,100,51,,,,,,,,,,,,
DERIO,VOTES,5425,100,1442,0,862,199,0,0,175,570,21,35,79,67,1975
DERIO,PERCENTAGE,5425,100,42,,,,,,,,,,,,
DIMA,VOTES,1181,100,329,0,505,27,0,4,5,8,7,0,8,17,271
DIMA,PERCENTAGE,1181,100,36,,,,,,,,,,,,
DURANGO,VOTES,22650,100,5531,0,5005,982,0,78,890,1367,158,0,245,205,8189
DURANGO,PERCENTAGE,22650,100,38,,,,,,,,,,,,
EA,VOTES,690,100,208,0,287,5,0,0,3,5,5,1,4,8,164
EA,PERCENTAGE,690,100,40,,,,,,,,,,,,
ELANTXOBE,VOTES,288,100,100,0,120,3,0,0,1,1,2,0,3,2,56
ELANTXOBE,PERCENTAGE,288,100,43,,,,,,,,,,,,
ELORRIO,VOTES,5678,100,1463,0,1668,257,0,5,72,235,18,0,65,68,1827
ELORRIO,PERCENTAGE,5678,100,38,,,,,,,,,,,,
ERANDIO,VOTES,18995,100,3958,0,2439,912,0,0,622,2162,89,172,246,215,8180
ERANDIO,PERCENTAGE,18995,100,37,,,,,,,,,,,,
ERENO,VOTES,226,100,81,0,57,6,0,0,0,4,0,0,7,9,62
ERENO,PERCENTAGE,226,100,52,,,,,,,,,,,,
ERMUA,VOTES,12392,100,1659,0,1594,941,0,78,876,2199,81,0,145,139,4680
ERMUA,PERCENTAGE,12392,100,21,,,,,,,,,,,,
ERRIGOITI,VOTES,406,100,145,0,133,8,0,0,1,7,0,2,7,7,96
ERRIGOITI,PERCENTAGE,406,100,47,,,,,,,,,,,,
ETXEBARRI,VOTES,9043,100,2121,0,902,491,0,48,385,1073,64,0,183,137,3639
ETXEBARRI,PERCENTAGE,9043,100,40,,,,,,,,,,,,
ETXEBARRIA,VOTES,582,100,243,0,203,2,0,0,0,5,0,1,4,7,117
ETXEBARRIA,PERCENTAGE,582,100,53,,,,,,,,,,,,
FORUA,VOTES,747,100,339,0,221,17,0,0,5,11,0,0,13,2,139
FORUA,PERCENTAGE,747,100,55,,,,,,,,,,,,
FRUIZ,VOTES,417,100,150,0,138,17,0,0,3,6,1,5,6,3,88
FRUIZ,PERCENTAGE,417,100,46,,,,,,,,,,,,
GALDAKAO,VOTES,23862,100,5140,0,5176,999,0,69,764,1874,75,0,305,259,9201
GALDAKAO,PERCENTAGE,23862,100,35,,,,,,,,,,,,
GALDAMES,VOTES,693,100,237,1,174,20,12,0,5,19,2,4,13,18,188
GALDAMES,PERCENTAGE,693,100,48,,,,,,,,,,,,
GAMIZ,VOTES,1163,100,415,0,292,27,0,0,10,27,3,1,14,28,346
GAMIZ,PERCENTAGE,1163,100,52,,,,,,,,,,,,
GARAI,VOTES,266,100,118,0,81,8,0,1,8,15,1,0,2,5,27
GARAI,PERCENTAGE,266,100,50,,,,,,,,,,,,
GATIKA,VOTES,1296,100,503,0,279,36,0,0,9,28,2,0,20,19,400
GATIKA,PERCENTAGE,1296,100,57,,,,,,,,,,,,
GAUTEGIZ ARTEAGA,VOTES,736,100,294,0,215,26,0,0,2,13,1,4,11,10,160
GAUTEGIZ ARTEAGA,PERCENTAGE,736,100,51,,,,,,,,,,,,
GERNIKA,VOTES,12496,100,3748,0,3180,312,0,0,198,537,56,38,159,124,4144
GERNIKA,PERCENTAGE,12496,100,45,,,,,,,,,,,,
